OD value,density,cell,hour
0.1026,1000,WT,24
0.2036,2000,WT,24
0.3296,3000,WT,24
0.3756,4000,WT,24
0.4246,5000,WT,24
0.3006,6000,WT,24
0.5136,7000,WT,24
0.0896,1000,WT,24
0.2076,2000,WT,24
0.2916,3000,WT,24
0.3946,4000,WT,24
0.4686,5000,WT,24
0.4766,6000,WT,24
0.4776,7000,WT,24
0.0976,1000,WT,24
0.1956,2000,WT,24
0.3316,3000,WT,24
0.4026,4000,WT,24
0.4306,5000,WT,24
0.4406,6000,WT,24
0.5216,7000,WT,24
0.0896,1000,WT,24
0.2106,2000,WT,24
0.2996,3000,WT,24
0.3886,4000,WT,24
0.4606,5000,WT,24
0.3606,6000,WT,24
0.4676,7000,WT,24
0.0976,1000,WT,24
0.2036,2000,WT,24
0.3016,3000,WT,24
0.3816,4000,WT,24
0.3916,5000,WT,24
0.4786,6000,WT,24
0.4656,7000,WT,24
0.0436,1000,KO,24
0.0886,2000,KO,24
0.1436,3000,KO,24
0.1686,4000,KO,24
0.1936,5000,KO,24
0.1976,6000,KO,24
0.2066,7000,KO,24
0.0386,1000,KO,24
0.0996,2000,KO,24
0.1546,3000,KO,24
0.1796,4000,KO,24
0.2106,5000,KO,24
0.2546,6000,KO,24
0.2216,7000,KO,24
0.0466,1000,KO,24
0.0896,2000,KO,24
0.1606,3000,KO,24
0.1856,4000,KO,24
0.1996,5000,KO,24
0.2246,6000,KO,24
0.2296,7000,KO,24
0.0626,1000,KO,24
0.0846,2000,KO,24
0.1386,3000,KO,24
0.1756,4000,KO,24
0.1986,5000,KO,24
0.2346,6000,KO,24
0.2206,7000,KO,24
0.0426,1000,KO,24
0.0916,2000,KO,24
0.1476,3000,KO,24
0.1756,4000,KO,24
0.2166,5000,KO,24
0.2296,6000,KO,24
0.1376,7000,KO,24
0.1986,1000,WT,48
0.3676,2000,WT,48
0.4446,3000,WT,48
0.5266,4000,WT,48
0.5296,5000,WT,48
0.5826,6000,WT,48
0.5986,7000,WT,48
0.6906,8000,WT,48
0.1966,1000,WT,48
0.3606,2000,WT,48
0.4276,3000,WT,48
0.4546,4000,WT,48
0.5496,5000,WT,48
0.5376,6000,WT,48
0.6106,7000,WT,48
0.6506,8000,WT,48
0.2026,1000,WT,48
0.3846,2000,WT,48
0.4246,3000,WT,48
0.4996,4000,WT,48
0.5766,5000,WT,48
0.5946,6000,WT,48
0.6746,7000,WT,48
0.6796,8000,WT,48
0.2236,1000,WT,48
